X,Y,Z
-1.467987,-0.02598947,-3.244802
-1.467344,-0.02647191,-3.24406
-1.467632,-0.02743661,-3.243631
-1.466701,-0.02695435,-3.243318
-1.466989,-0.02791905,-3.242889
-1.466058,-0.02743678,-3.242576
-1.466346,-0.02840149,-3.242147
-1.465415,-0.02791922,-3.241834
-1.465703,-0.02888393,-3.241405
-1.464772,-0.02840166,-3.241091
-1.465059,-0.02936637,-3.240663
-1.464129,-0.0288841,-3.24035
-1.471574,-0.03274222,-3.242857
-1.472327,-0.03196179,-3.243003
-1.471287,-0.03177752,-3.243286
-1.47204,-0.03099709,-3.243431
-1.47308,-0.03118137,-3.243148
-1.470999,-0.03081281,-3.243715
-1.472793,-0.03021666,-3.243577
-1.473833,-0.03040094,-3.243293
-1.471752,-0.03003239,-3.24386
-1.470712,-0.02984811,-3.244143
-1.473546,-0.02943624,-3.243721
-1.474586,-0.02962052,-3.243438
-1.472505,-0.02925196,-3.244005
-1.471465,-0.02906768,-3.244288
-1.470424,-0.02888341,-3.244572
-1.474299,-0.02865581,-3.243867
-1.475339,-0.02884009,-3.243583
-1.473258,-0.02847153,-3.24415
-1.472218,-0.02828726,-3.244434
-1.471177,-0.02810298,-3.244717
-1.470136,-0.0279187,-3.245001
-1.475052,-0.02787539,-3.244012
-1.476092,-0.02805966,-3.243728
-1.474011,-0.02769111,-3.244295
-1.47297,-0.02750683,-3.244579
-1.47193,-0.02732255,-3.244862
-1.470889,-0.02713827,-3.245146
-1.469849,-0.026954,-3.245429
-1.475805,-0.02709496,-3.244157
-1.476845,-0.02727924,-3.243874
-1.474764,-0.02691068,-3.244441
-1.476557,-0.02631453,-3.244302
-1.477598,-0.02649881,-3.244019
-1.475517,-0.02613026,-3.244586
-1.474476,-0.02594598,-3.244869
-1.473723,-0.0267264,-3.244724
-1.473436,-0.0257617,-3.245152
-1.472683,-0.02654213,-3.245008
-1.472395,-0.02557742,-3.245436
-1.471642,-0.02635785,-3.245291
-1.471355,-0.02539314,-3.245719
-1.470602,-0.02617357,-3.245574
-1.470314,-0.02520886,-3.246003
-1.469561,-0.02598929,-3.245858
-1.469274,-0.02502459,-3.246286
-1.477598,-0.03126939,-3.23668
-1.477776,-0.03019091,-3.236632
-1.477598,-0.03067307,-3.237597
-1.477776,-0.02959458,-3.237549
-1.477954,-0.02911242,-3.236583
-1.477598,-0.03007675,-3.238515
-1.477954,-0.0285161,-3.2375
-1.478131,-0.02803393,-3.236534
-1.477776,-0.02899826,-3.238466
-1.477598,-0.02948042,-3.239432
-1.478131,-0.02743761,-3.237452
-1.478309,-0.02695544,-3.236486
-1.477954,-0.02791977,-3.238418
-1.477776,-0.02840194,-3.239383
-1.477598,-0.0288841,-3.24035
-1.478309,-0.02635912,-3.237403
-1.478487,-0.02587696,-3.236437
-1.478131,-0.02684129,-3.238369
-1.477954,-0.02732345,-3.239335
-1.477776,-0.02780562,-3.240301
-1.477598,-0.02828778,-3.241267
-1.478487,-0.02528064,-3.237355
-1.478665,-0.02479847,-3.236388
-1.478309,-0.0257628,-3.23832
-1.478131,-0.02624496,-3.239286
-1.477954,-0.02672713,-3.240252
-1.477776,-0.02720929,-3.241218
-1.477598,-0.02769146,-3.242184
-1.478665,-0.02420215,-3.237306
-1.478842,-0.02371998,-3.23634
-1.478487,-0.02468431,-3.238272
-1.478842,-0.02312366,-3.237257
-1.47902,-0.0226415,-3.236291
-1.478665,-0.02360583,-3.238223
-1.478487,-0.02408799,-3.239189
-1.478309,-0.02516648,-3.239238
-1.478309,-0.02457015,-3.240155
-1.478131,-0.02564864,-3.240204
-1.478131,-0.02505232,-3.241121
-1.477954,-0.0261308,-3.241169
-1.477954,-0.02553448,-3.242087
-1.477776,-0.02661297,-3.242136
-1.477776,-0.02601665,-3.243053
-1.477598,-0.02709513,-3.243101
-1.477598,-0.02649881,-3.244019
-1.469274,-0.03274361,-3.234412
-1.469849,-0.03196329,-3.233905
-1.470314,-0.03255934,-3.234696
-1.470889,-0.03177901,-3.234189
-1.470424,-0.03118296,-3.233398
-1.471355,-0.03237506,-3.234979
-1.471465,-0.03099869,-3.233681
-1.470999,-0.03040264,-3.232891
-1.47193,-0.03159473,-3.234472
-1.472395,-0.03219078,-3.235263
-1.47204,-0.03021836,-3.233174
-1.471574,-0.02962231,-3.232383
-1.472505,-0.03081441,-3.233965
-1.47297,-0.03141046,-3.234756
-1.473436,-0.0320065,-3.235546
-1.472615,-0.02943804,-3.232667
-1.47215,-0.02884199,-3.231876
-1.47308,-0.03003408,-3.233458
-1.473546,-0.03063013,-3.234248
-1.474011,-0.03122618,-3.235039
-1.474476,-0.03182223,-3.23583
-1.47319,-0.02865771,-3.23216
-1.472725,-0.02806166,-3.231369
-1.473656,-0.02925376,-3.23295
-1.474121,-0.0298498,-3.233741
-1.474586,-0.03044585,-3.234532
-1.475052,-0.0310419,-3.235322
-1.475517,-0.03163795,-3.236113
-1.473765,-0.02787738,-3.231652
-1.4733,-0.02728134,-3.230862
-1.474231,-0.02847343,-3.232443
-1.474341,-0.02709706,-3.231145
-1.473875,-0.02650101,-3.230354
-1.474806,-0.02769311,-3.231936
-1.475271,-0.02828915,-3.232727
-1.474696,-0.02906948,-3.233234
-1.475737,-0.0288852,-3.233517
-1.475161,-0.02966553,-3.234025
-1.476202,-0.02948125,-3.234308
-1.475627,-0.03026157,-3.234815
-1.476667,-0.0300773,-3.235099
-1.476092,-0.03085762,-3.235606
-1.477133,-0.03067334,-3.235889
-1.476557,-0.03145367,-3.236397
-1.477598,-0.03126939,-3.23668
-1.464129,-0.0288841,-3.24035
-1.464306,-0.02840194,-3.239383
-1.464772,-0.02936654,-3.239607
-1.46495,-0.02888438,-3.238642
-1.464484,-0.02791977,-3.238418
-1.465415,-0.02984898,-3.238865
-1.465127,-0.02840221,-3.237675
-1.464662,-0.02743761,-3.237452
-1.465593,-0.02936682,-3.237899
-1.466058,-0.03033142,-3.238123
-1.465305,-0.02792005,-3.23671
-1.46484,-0.02695544,-3.236486
-1.46577,-0.02888465,-3.236933
-1.466236,-0.02984925,-3.237157
-1.466701,-0.03081386,-3.237381
-1.465483,-0.02743788,-3.235744
-1.465018,-0.02647328,-3.23552
-1.465948,-0.02840249,-3.235967
-1.466414,-0.02936709,-3.236191
-1.466879,-0.03033169,-3.236415
-1.467344,-0.0312963,-3.236639
-1.465661,-0.02695572,-3.234778
-1.465195,-0.02599112,-3.234554
-1.466126,-0.02792032,-3.235002
-1.466591,-0.02888492,-3.235225
-1.467057,-0.02984953,-3.235449
-1.467522,-0.03081413,-3.235673
-1.467987,-0.03177874,-3.235897
-1.465838,-0.02647356,-3.233812
-1.465373,-0.02550895,-3.233588
-1.466304,-0.02743816,-3.234035
-1.466016,-0.02599139,-3.232846
-1.465551,-0.02502679,-3.232622
-1.466481,-0.02695599,-3.23307
-1.466947,-0.0279206,-3.233294
-1.466769,-0.02840276,-3.234259
-1.467412,-0.0288852,-3.233517
-1.467234,-0.02936736,-3.234483
-1.467878,-0.0298498,-3.233741
-1.4677,-0.03033197,-3.234707
-1.468343,-0.03081441,-3.233965
-1.468165,-0.03129657,-3.234931
-1.468808,-0.03177901,-3.234189
-1.468631,-0.03226118,-3.235155
-1.469274,-0.03274361,-3.234412
-1.469274,-0.02502459,-3.246286
-1.468808,-0.02442854,-3.245496
-1.468631,-0.02550703,-3.245544
-1.468165,-0.02491098,-3.244754
-1.468343,-0.02383249,-3.244705
-1.467987,-0.02598947,-3.244802
-1.4677,-0.02431493,-3.243963
-1.467878,-0.02323644,-3.243914
-1.467522,-0.02539342,-3.244011
-1.467344,-0.02647191,-3.24406
-1.467234,-0.02371888,-3.243172
-1.467412,-0.0226404,-3.243124
-1.467057,-0.02479737,-3.243221
-1.466879,-0.02587586,-3.243269
-1.466701,-0.02695435,-3.243318
-1.466769,-0.02312284,-3.242381
-1.466947,-0.02204435,-3.242333
-1.466591,-0.02420132,-3.24243
-1.466414,-0.02527981,-3.242479
-1.466236,-0.0263583,-3.242527
-1.466058,-0.02743678,-3.242576
-1.466304,-0.02252679,-3.24159
-1.466481,-0.0214483,-3.241542
-1.466126,-0.02360528,-3.241639
-1.465948,-0.02468376,-3.241688
-1.46577,-0.02576225,-3.241736
-1.465593,-0.02684074,-3.241785
-1.465415,-0.02791922,-3.241834
-1.465838,-0.02193074,-3.2408
-1.466016,-0.02085225,-3.240751
-1.465661,-0.02300923,-3.240849
-1.465373,-0.02133469,-3.240009
-1.465551,-0.02025621,-3.23996
-1.465195,-0.02241318,-3.240058
-1.465018,-0.02349167,-3.240106
-1.465483,-0.02408771,-3.240897
-1.46484,-0.02457015,-3.240155
-1.465305,-0.0251662,-3.240946
-1.464662,-0.02564864,-3.240204
-1.465127,-0.02624469,-3.240994
-1.464484,-0.02672713,-3.240252
-1.46495,-0.02732318,-3.241043
-1.464306,-0.02780562,-3.240301
-1.464772,-0.02840166,-3.241091
-1.464129,-0.0288841,-3.24035
-1.477598,-0.02649881,-3.244019
-1.477133,-0.02553421,-3.243795
-1.476557,-0.02631453,-3.244302
-1.476092,-0.02534993,-3.244078
-1.476667,-0.0245696,-3.243571
-1.475517,-0.02613026,-3.244586
-1.475627,-0.02438533,-3.243855
-1.476202,-0.023605,-3.243347
-1.475052,-0.02516565,-3.244362
-1.474476,-0.02594598,-3.244869
-1.475161,-0.02342072,-3.243631
-1.475737,-0.0226404,-3.243124
-1.474586,-0.02420105,-3.244138
-1.474011,-0.02498137,-3.244645
-1.473436,-0.0257617,-3.245152
-1.474696,-0.02245612,-3.243407
-1.475271,-0.02167579,-3.2429
-1.474121,-0.02323644,-3.243914
